associatedReferences,verbatimTaxonRank,acceptedNameUsageID,traitName,measurementType,measurementTypeID,measurementMethod,measurementRemarks,recordLevel,measurementValue,valueSummary,measurementUnit,sampleSizeValue,variance,varianceMeasure,recordNumber,catalogNumber,eventDate,sex,lifeStage,locality,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,country,stateProvince,county,habitat
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis tabaniformis,gbif:7046587,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,5.65,single observation,mm,NA,NA,NA,NA,LACM ENT 602398,1966-08-11,F,adult,23.2 mi N Chilpancingo,NA,NA,NA,NA,NA,Mexico,Guerrero,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis orpifex,gbif:6252718,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,4.94,single observation,mm,NA,NA,NA,NA,LACM ENT 602399,1954-04-26,M,adult,Columbia,NA,NA,NA,NA,NA,United States,California,Tuolumne,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa frontalis,gbif:1342535,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,7.92,single observation,mm,NA,NA,NA,NA,LACM ENT 602400,NA,M,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa frontalis,gbif:1342525,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,9.18,single observation,mm,NA,NA,NA,NA,LACM ENT 602402,1958-07-12,F,adult,42 kms. SE. Maturin,NA,NA,NA,NA,NA,Venezuela,Monagas,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa frontalis,gbif:1342527,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,9.38,single observation,mm,NA,NA,NA,NA,LACM ENT 602403,1958-06-16,F,adult,42 kms. SE. Maturin,NA,NA,NA,NA,NA,Venezuela,Monagas,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis tabaniformis,gbif:7046587,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,5.13,single observation,mm,NA,NA,NA,NA,LACM ENT 602404,NA,M,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis tabaniformis,gbif:7046587,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,5.1,single observation,mm,NA,NA,NA,NA,LACM ENT 602407,1968-09-08,M,adult,"Presa Benito Juárez, nr. Jalapa de Marquez, Hwy 190",NA,NA,NA,NA,NA,Mexico,Oaxaca,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis orpifex,gbif:6252707,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,5.06,single observation,mm,NA,NA,NA,NA,LACM ENT 602408,1970-03-14,M,adult,University of California Davis,NA,NA,NA,NA,NA,United States,California,Yolo,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa frontalis,gbif:1342531,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,9.05,single observation,mm,NA,NA,NA,NA,LACM ENT 602409,11/21-30/1964,M,adult,"Pucallpa, 200m",NA,NA,NA,NA,NA,Peru,Loreto,NA,NA
"Ostwald MM, Hirokawa R, Smith C, Rivas Trasvina S, Seltmann KC. 2025. Estimating body size in the large carpenter bees (Xylocopa). Journal of Melittology.",Xylocopa tabaniformis orpifex,gbif:6252704,body size,head width,http://purl.obolibrary.org/obo/HAO_0002268,NA,NA,individual,4.83,single observation,mm,NA,NA,NA,NA,LACM ENT 602412,03/16/ 0000,M,adult,"Monrovia, Fish Canyon",NA,NA,NA,NA,NA,United States,California,Los Angeles,NA
